Schools,Funding,Programs,2021-cycle Status,Application DDL,Greetings,website
New York University,Private,History Ph.D.,Suspend,,"THE PH.D. PROGRAM IN HISTORY, AS WELL AS OUR JOINT DOCTORAL PROGRAMS WITH HEBREW AND JUDAIC STUDIES (HJS), MIDDLE EASTERN AND ISLAMIC STUDIES (MEIS), AND THE INSTITUTE OF FRENCH STUDIES (IFS), WILL NOT BE ACCEPTING ADMISSIONS APPLICATIONS FOR FALL 2021.",
New York University,Private,Spanish & Portuguese Ph.D.,Suspend,,,
Ohio State University,Public,Sociology Ph.D.,Normal,November 30th,GRE scores are not required for applications submitted in fall 2020 (for admission fall 2021).,
Princeton University,Private,Sociology Ph.D.,Suspend,,We regret to announce that Princeton Sociology will not accept applications during the 2021 admissions cycle.,
Rice University,Private,History Ph.D.,Suspend,,"In response to challenges caused by COVID-19, Rice’s School of Humanities has paused admissions to all five of its Ph.D. programs ",
Rice University,Private,English Ph.D.,Suspend,,"In response to challenges caused by COVID-19, Rice’s School of Humanities has paused admissions to all five of its Ph.D. programs ",
Rice University,Private,Philosophy Ph.D.,Suspend,,"In response to challenges caused by COVID-19, Rice’s School of Humanities has paused admissions to all five of its Ph.D. programs ",
Rice University,Private,Religious Studies Ph.D.,Suspend,,"In response to challenges caused by COVID-19, Rice’s School of Humanities has paused admissions to all five of its Ph.D. programs ",
Rice University,Private,Art history Ph.D.,Suspend,,"In response to challenges caused by COVID-19, Rice’s School of Humanities has paused admissions to all five of its Ph.D. programs ",
Stanford University,Private,South Asian Field within History Ph.D.,Suspend,,,https://history.stanford.edu/academics/graduate-programs/phd-requirements/how-apply
Stanford University,Private,Sociology Ph.D.,Normal,"December 2nd, 2020",,
Stanford University,Private,South Asian Field within History Ph.D.,Suspend,,,
U of New Hampshire,Public,Analytics & Data Science Ph.D.,Suspend,,,
UC Irvine,Public,Sociology Ph.D.,Normal,"December 2nd, 2020",,https://www.sociology.uci.edu/grad/phd/admissions.php
UC Santa Barbara,Public,History Ph.D.,Normal,,,
UC Santa Barbara,Public,Sociology Ph.D.,Suspend,,Fall 2021 Grad Admissions Deferred,
UC-Berkeley,Public,History of Art  MA/Ph.D.,Suspend,,History of Art will not accept applications to our graduate program for the 2021 admissions cycle ,https://arthistory.berkeley.edu/programs/graduate/welcome/
UC-Berkeley,Public,Sociology Ph.D.,Suspend,,We regret to announce that the Sociology Department at UC Berkeley will not accept applications for our doctoral program during the 2021 admissions cycle,
UChicago,Private,Art History Ph.D.,Suspend,,We regret to announce that the University of Chicago will not be accepting applications for the PhD program in Art History during the 2021 admissions cycle. We encourage you to consider applying in the Autumn of 2021 for the Autumn 2022 cohort.,https://arthistory.uchicago.edu/graduate/admissions
UChicago,Private,Cinema & Media Studies Ph.D.,Suspend,,We regret to announce that the University of Chicago will not accept applications for the PhD program in Cinema and Media Studies during the 2021 admissions cycle,https://cms.uchicago.edu/graduate/admissions
UChicago,Private,Music Ph.D.,Suspend,,,https://music.uchicago.edu/graduate/admissions
UChicago,Private,Philosophy Ph.D.,Suspend,,,https://philosophy.uchicago.edu/graduate/phd-admissions
UChicago,Private,Linuistics Ph.D.,Suspend,,,https://linguistics.uchicago.edu/
UChicago,Private,Comparative literature Ph.D.,Suspend,,,https://complit.uchicago.edu/graduate/admissions
UCLA,Private,Film Ph.D.,Suspend,,,http://www.tft.ucla.edu/programs/film-tv-digital-media-department/graduate-degrees/
UNC Chapel Hill-History,Public,History Ph.D.,Suspend,,We regret to announce that the UNC-CH History Department will not accept applications to our graduate program during the 2021 admissions cycle. ,
University Colorado at Boulder,Public,Anthropology Ph.D.,Suspend,,,https://www.colorado.edu/anthropology/graduate
University of MASS Amherst ,Public,Sociology Ph.D.,Suspend,,We regret to announce that the Department of Sociology will not accept graduate applications during the 2021 admissions cycle.,
University of Michigan--Ann Arbor,Public,Sociology Ph.D.,Normal,"December 15th, 2020",NOT requiring Fall 2020 applicants to submit GRE Scores for the upcoming 2021 Admissions,
University of Montana,Public,Clinical Psychology Ph.D.,Suspend,,,
University of Oregon,Public,Comparative literature Ph.D.,Suspend,,,
University of Pennsylvania,Private,Sociology Ph.D.,Normal,,,
University of Pennsylvania,Private,Biology Ph.D.,Suspend,,,
University of Pittsburg,Public ,Anthropology Ph.D.,Suspend,,"In response to the disruptions caused by the global pandemic, the following Ph.D., MFA, and MA programs in the Humanities and Social Sciences in the Dietrich School of Arts and Sciences at the University of Pittsburgh are pausing admissions for fall 2021.",
University of Pittsburg,Public ,Communication Ph.D.,Suspend,,"In response to the disruptions caused by the global pandemic, the following Ph.D., MFA, and MA programs in the Humanities and Social Sciences in the Dietrich School of Arts and Sciences at the University of Pittsburgh are pausing admissions for fall 2021.",
University of Pittsburg,Public ,Classics Ph.D.,Suspend,,"In response to the disruptions caused by the global pandemic, the following Ph.D., MFA, and MA programs in the Humanities and Social Sciences in the Dietrich School of Arts and Sciences at the University of Pittsburgh are pausing admissions for fall 2021.",
University of Pittsburg,Public ,Critical European Culture Studies Ph.D.,Suspend,,"In response to the disruptions caused by the global pandemic, the following Ph.D., MFA, and MA programs in the Humanities and Social Sciences in the Dietrich School of Arts and Sciences at the University of Pittsburgh are pausing admissions for fall 2021.",
University of Pittsburg,Public ,English Ph.D.,Suspend,,"In response to the disruptions caused by the global pandemic, the following Ph.D., MFA, and MA programs in the Humanities and Social Sciences in the Dietrich School of Arts and Sciences at the University of Pittsburgh are pausing admissions for fall 2021.",
University of Pittsburg,Public ,English MFA,Suspend,,"In response to the disruptions caused by the global pandemic, the following Ph.D., MFA, and MA programs in the Humanities and Social Sciences in the Dietrich School of Arts and Sciences at the University of Pittsburgh are pausing admissions for fall 2021.",
University of Pittsburg,Public ,Film & Media Studies Ph.D.,Suspend,,"In response to the disruptions caused by the global pandemic, the following Ph.D., MFA, and MA programs in the Humanities and Social Sciences in the Dietrich School of Arts and Sciences at the University of Pittsburgh are pausing admissions for fall 2021.",
University of Pittsburg,Public ,French Ph.D.,Suspend,,"In response to the disruptions caused by the global pandemic, the following Ph.D., MFA, and MA programs in the Humanities and Social Sciences in the Dietrich School of Arts and Sciences at the University of Pittsburgh are pausing admissions for fall 2021.",
University of Pittsburg,Public ,Hispanic Languages & Literatures Ph.D.,Suspend,,"In response to the disruptions caused by the global pandemic, the following Ph.D., MFA, and MA programs in the Humanities and Social Sciences in the Dietrich School of Arts and Sciences at the University of Pittsburgh are pausing admissions for fall 2021.",
University of Pittsburg,Public ,History Ph.D.,Suspend,,"In response to the disruptions caused by the global pandemic, the following Ph.D., MFA, and MA programs in the Humanities and Social Sciences in the Dietrich School of Arts and Sciences at the University of Pittsburgh are pausing admissions for fall 2021.",
University of Pittsburg,Public ,History of Art & Architecture Ph.D.,Suspend,,"In response to the disruptions caused by the global pandemic, the following Ph.D., MFA, and MA programs in the Humanities and Social Sciences in the Dietrich School of Arts and Sciences at the University of Pittsburgh are pausing admissions for fall 2021.",
University of Pittsburg,Public ,Italian MA,Suspend,,"In response to the disruptions caused by the global pandemic, the following Ph.D., MFA, and MA programs in the Humanities and Social Sciences in the Dietrich School of Arts and Sciences at the University of Pittsburgh are pausing admissions for fall 2021.",
University of Pittsburg,Public ,Linuistics Ph.D.,Suspend,,"In response to the disruptions caused by the global pandemic, the following Ph.D., MFA, and MA programs in the Humanities and Social Sciences in the Dietrich School of Arts and Sciences at the University of Pittsburgh are pausing admissions for fall 2021.",
University of Pittsburg,Public ,Music Ph.D.,Suspend,,"In response to the disruptions caused by the global pandemic, the following Ph.D., MFA, and MA programs in the Humanities and Social Sciences in the Dietrich School of Arts and Sciences at the University of Pittsburgh are pausing admissions for fall 2021.",
University of Pittsburg,Public ,Slavic Languages & Literatures Ph.D.,Suspend,,"In response to the disruptions caused by the global pandemic, the following Ph.D., MFA, and MA programs in the Humanities and Social Sciences in the Dietrich School of Arts and Sciences at the University of Pittsburgh are pausing admissions for fall 2021.",
University of Pittsburg,Public ,Sociology Ph.D.,Suspend,,"In response to the disruptions caused by the global pandemic, the following Ph.D., MFA, and MA programs in the Humanities and Social Sciences in the Dietrich School of Arts and Sciences at the University of Pittsburgh are pausing admissions for fall 2021.",
University of Pittsburg,Public ,Theatre Arts Ph.D.,Suspend,,"In response to the disruptions caused by the global pandemic, the following Ph.D., MFA, and MA programs in the Humanities and Social Sciences in the Dietrich School of Arts and Sciences at the University of Pittsburgh are pausing admissions for fall 2021.",
University of Pittsburg,Public ,Theatre Arts MFA,Suspend,,"In response to the disruptions caused by the global pandemic, the following Ph.D., MFA, and MA programs in the Humanities and Social Sciences in the Dietrich School of Arts and Sciences at the University of Pittsburgh are pausing admissions for fall 2021.",
University of Washington,Public ,Communication M.A./Ph.D and Ph.D,Suspend,,Autumn 2021 admissions suspended for UW Communication M.A./Ph.D and Ph.D.,
University of Washington,Public ,Feminist Studies/GWSS Ph.D.,Suspend,,"Due to the COVID-19 pandemic, the GWSS Department will be pausing our PhD Program admissions for the 2021-2022 academic year. However, we look forward to opening admission to our program in 2022-23.",
University of Washington,Public,Political Science Ph.D.,Suspend,,Political Science Admissions Closed for 2021-2022,
UPenn,Private,Ancient History Ph.D.,Suspend,,"As you know, SAS has made the difficult decision to pause school-funded PhD admissions for the 2021-22 academic year. Some graduate groups regularly support students with external grants and so may be able to admit graduate students, albeit in smaller numbers. Among the factors that led to this necessary action are the fiscal shortfalls that became especially acute following the University’s mid-August rollbacks in tuition and fees.All UPenn School of Arts and Sciences Programmes suspended",
UPenn,Private,Anthropology Ph.D.,Suspend,,All UPenn School of Arts and Sciences Programmes suspended,
UPenn,Private,Applied Math & Computational Science Ph.D.,Suspend,,All UPenn School of Arts and Sciences Programmes suspended,
UPenn,Private,Art & Archeology Ph.D.,Suspend,,All UPenn School of Arts and Sciences Programmes suspended,
UPenn,Private,Astronomy Ph.D.,Suspend,,All UPenn School of Arts and Sciences Programmes suspended,
UPenn,Private,Biology Ph.D.,Suspend,,All UPenn School of Arts and Sciences Programmes suspended,
UPenn,Private,Classical Studies Ph.D.,Suspend,,All UPenn School of Arts and Sciences Programmes suspended,
UPenn,Private,Comparative literature Ph.D.,Suspend,,All UPenn School of Arts and Sciences Programmes suspended,
UPenn,Private,Criminology Ph.D.,Suspend,,All UPenn School of Arts and Sciences Programmes suspended,
UPenn,Private,Demography Ph.D.,Suspend,,All UPenn School of Arts and Sciences Programmes suspended,
UPenn,Private,Earth & Environmental Science Ph.D.,Suspend,,All UPenn School of Arts and Sciences Programmes suspended,
UPenn,Private,East Asian Languages Ph.D.,Suspend,,All UPenn School of Arts and Sciences Programmes suspended,
UPenn,Private,Economics Ph.D.,Suspend,,All UPenn School of Arts and Sciences Programmes suspended,
UPenn,Private,English Ph.D.,Suspend,,All UPenn School of Arts and Sciences Programmes suspended,
UPenn,Private,Germanic Languages Ph.D.,Suspend,,All UPenn School of Arts and Sciences Programmes suspended,
UPenn,Private,History Ph.D.,Suspend,,All UPenn School of Arts and Sciences Programmes suspended,
UPenn,Private,History of Art Ph.D.,Suspend,,All UPenn School of Arts and Sciences Programmes suspended,
UPenn,Private,History & Sociology of Science Ph.D.,Suspend,,All UPenn School of Arts and Sciences Programmes suspended,
UPenn,Private,Linuistics Ph.D.,Suspend,,All UPenn School of Arts and Sciences Programmes suspended,
UPenn,Private,Math Ph.D.,Suspend,,https://www.math.upenn.edu/graduate/,
UPenn,Private,Music Ph.D.,Suspend,,All UPenn School of Arts and Sciences Programmes suspended,
UPenn,Private,Near Eastern Languages & Civilizations Ph.D.,Suspend,,All UPenn School of Arts and Sciences Programmes suspended,
UPenn,Private,Philosophy Ph.D.,Suspend,,All UPenn School of Arts and Sciences Programmes suspended,
UPenn,Private,Political Science Ph.D.,Suspend,,All UPenn School of Arts and Sciences Programmes suspended,
UPenn,Private,Psychology Ph.D.,Suspend,,All UPenn School of Arts and Sciences Programmes suspended,
UPenn,Private,Religious Studies Ph.D.,Suspend,,All UPenn School of Arts and Sciences Programmes suspended,
UPenn,Private,Romance Languages Ph.D.,Suspend,,All UPenn School of Arts and Sciences Programmes suspended,
UPenn,Private,Sociology Ph.D.,Suspend,,All UPenn School of Arts and Sciences Programmes suspended,
UPenn,Private,South Asia Regional Studies,Suspend,,All UPenn School of Arts and Sciences Programmes suspended,
UT Austin ,Public,Sociology Ph.D.,Normal,December 1st,,
Yale,Private,Art History Ph.D.,Suspend,,"We regret to announce that the Yale Department of the History of Art will not accept applications to our graduate program during the 2021 admissions cycle. In order to ensure that the department has resources to adequately support its students during the Covid-19 pandemic, we will hold off on bringing new students to the program until 2022. ",
Yale,Private,Drama Ph.D.,Suspend,,,
Yale,Private,Slavic Languages & Literatures Ph.D.,Suspend,,We regret to announce that the Yale Department of Slavic Languages and Literatures will not accept applications to our graduate program during the 2021 admissions cycle.,
University of Virginia,Public,Anthropology Ph.D.,Suspend,,"As with many departments in the humanities and social sciences at universities across the country, the Department of Anthropology at UVA has decided to suspend admission into our graduate programs this year. ",
Northwestern University,Private,Art History Ph.D.,Suspend,,"The Department of Art History regrets that we are not able to admit new students for the academic year 2021-2022. As is the case across the country, we are facing constricting budgets and need to be sure we are able to support all of our current PhD students through the crisis. ",https://arthistory.northwestern.edu/graduate/application/index.html
